component_name,product_name,resolution_code,status_code,quantity_of_votes,quantity_of_comments,bug_fix_time,severity_code,assignee_name
ui,product_115,1,4,0,6,57,2,pde-ui-inbox
git,product_20,1,6,0,2,0,2,webmaster
data access,product_10,1,4,0,3,9,2,lchan
swt,product_117,1,4,0,10,42,2,platform-swt-inbox
xtext,product_146,1,6,0,10,2,2,tmf.xtext-inbox
cosmos,product_173,1,6,0,7,0,2,jagmits
other,product_other,1,4,0,2,6,5,dirigible-inbox
jpa,product_21,1,4,0,4,717,2,neil.hauge
rwt,product_121,1,4,1,12,2,2,rap-inbox
cdt,product_17,1,6,0,4,50,2,andrew.niefer
ui,product_117,1,4,0,4,22,2,shaun
compiler,product_7,1,4,0,9,61,2,adrian.colyer
emf forms,product_33,1,6,0,3,222,2,eneufeld
report,product_10,1,4,0,3,5,2,xuelan.li
ui,product_69,1,4,0,3,6,2,martinae
framework,product_52,1,4,0,10,1,4,tjwatson
xtext,product_146,1,6,0,3,2,2,tmf.xtext-inbox
hyades,product_173,1,6,0,5,12,4,curtispd
ecf,product_29,1,4,0,3,0,4,slewis
hyades,product_173,1,6,0,6,3,6,slavescu
code assist,product_116,1,6,0,3,5,2,guy.g
cdt,product_17,1,4,0,2,3,2,aleherb+eclipse
ui,product_115,1,4,0,7,5,4,konradk
server,product_70,1,6,0,2,270,2,gregw
update,product_117,1,4,0,12,31,2,andrew.niefer
ui,product_117,1,4,0,9,4,2,tmccrary
general,product_114,1,6,0,8,435,2,rschnekenburger
ui,product_69,1,4,0,7,181,2,martinae
ui,product_115,1,4,0,3,288,2,Vikas.Chandra
git,product_110,1,4,0,3,218,2,tomasz.zarna
proposals and reviews,product_20,1,4,0,4,90,2,emo
vjet,product_173,1,4,0,2,0,2,earlyster
ci,product_20,1,4,0,4,1,2,ci.admin-inbox
hyades,product_173,1,6,0,9,3,2,curtispd
runtime,product_36,1,4,0,4,0,2,efxclipse-inbox
wst,product_167,1,4,0,4,0,2,wtp.inc.xsl-inbox
general,product_72,1,4,0,2,8,2,lbustelo
resources,product_117,1,4,0,5,30,2,eclipse
js tools,product_110,1,4,0,4,0,2,Olivier_Thomann
core,product_113,1,4,0,3,126,2,cletavernier
tptp,product_173,1,6,0,6,0,2,aeberbac
git,product_20,1,4,0,3,23,4,webmaster
team,product_117,1,4,0,2,1,2,James_Moody
core,product_other,1,6,0,3,3,2,vgeorgieva
framework,product_52,1,4,0,5,10,2,tjwatson
geclipse,product_173,1,6,0,4,45,2,mael
remote,product_118,1,4,0,24,185,2,g.watson
jst,product_166,1,6,0,7,0,2,gorkem.ercan
tptp,product_173,1,6,0,6,0,5,ewchan
dash athena,product_173,1,4,0,5,0,2,dash.commonbuilder-inbox
compiler,product_7,1,4,0,4,0,2,aclement
ecf,product_29,1,4,0,2,0,2,ecf.core-inbox
report,product_10,1,6,0,4,0,2,zqian
framework,product_52,1,4,0,4,118,2,equinox.framework-inbox
ci,product_20,1,4,0,4,0,6,ci.admin-inbox
other,product_108,1,4,0,2,0,2,stepper
update,product_117,1,4,0,3,1735,2,platform-update-inbox
hyades,product_173,1,6,0,6,1,2,ewchan
team,product_117,1,4,0,3,0,2,James_Moody
ui,product_129,1,6,0,4,4,2,konstantin
core,product_133,1,6,0,18,165,2,pierre-charles.david
tptp,product_173,1,6,0,3,3,4,nevicosi
core,product_113,1,4,0,2,552,2,yann.tanguy
core,product_62,1,4,0,9,1,4,dimzzy
ui,product_115,1,4,0,5,1,2,cherie.wong
tptp,product_173,1,6,0,4,140,2,samwai
jpa,product_31,1,6,0,10,401,2,peter.krogh
update,product_117,1,4,0,2,0,2,birsan
ui,product_69,1,4,0,3,17,2,akiezun
ui,product_115,1,4,0,10,30,2,peter
core,product_91,1,4,0,6,6,4,steffen.pingel
ui,product_117,1,4,0,15,184,2,mdelder
resources,product_117,1,4,0,3,3,2,john.arthorne
other,product_other,1,6,0,6,0,2,wb.rcp-inbox
website,product_20,1,6,0,2,0,2,edouard
swt,product_117,1,4,0,6,48,2,snorthov
hyades,product_173,1,6,0,4,37,2,scott.schneider
samples,product_62,1,4,0,3,1,4,borlander
team,product_117,1,4,0,2,1,2,silvio_boehler
bugzilla,product_91,1,4,0,5,0,2,robert.elves
framework,product_21,1,4,0,3,6,2,dali.framework-inbox
git,product_110,1,4,0,5,0,6,mamacdon
text,product_117,1,4,0,3,24,1,eclipse
hyades,product_173,1,6,0,7,0,2,ewchan
client,product_110,1,4,0,6,18,2,susan
core,product_39,1,6,0,3,2,2,Ed.Merks
common,product_33,1,6,0,5,0,2,stepper
tooling,product_36,1,4,0,2,0,2,tom.schindl
cdt,product_17,1,4,0,2,0,2,mikhailkhod
designer,product_113,1,4,0,5,182,2,mdt-papyrus-inbox
servers,product_other,1,4,0,9,204,2,webmaster
xcore,product_39,1,6,0,3,13,1,Ed.Merks
tptp,product_173,1,6,0,8,0,5,paulslau
tptp,product_173,1,6,0,7,93,2,amehrega
eclipse-build,product_78,1,4,0,8,0,5,linux.packagingtools-inbox
navigator,product_33,1,6,0,3,21,2,t.s.verhoeven
general,product_61,1,4,0,19,14,5,cbmcgee
client,product_110,1,4,0,3,5,2,susan
cdt,product_17,1,4,0,2,0,2,mikhailkhod
general,product_other,1,4,0,5,78,5,ecore-inbox
core,product_103,1,6,0,5,1,2,dirk.fauth
report,product_10,1,4,0,4,24,4,hustlg
core,product_113,1,6,0,2,741,2,vincent.lorenzo
other,product_other,1,4,0,4,20,2,wb.rcp-inbox
terminal,product_141,1,4,0,6,96,2,eclipse
ui,product_69,1,4,0,5,0,2,markus.kell.r
paho,product_173,1,4,0,3,4,2,james.sutton
general,product_61,1,4,0,4,0,2,crevells
articles,product_20,1,4,0,3,12,2,wayne.beaton
cdt,product_17,1,4,0,7,187,2,sevoy
ui,product_115,1,4,0,2,0,2,baumanbr
emf forms,product_33,1,6,0,2,0,2,eneufeld
jst,product_164,1,6,0,25,104,4,thebravoman
p2,product_52,1,4,0,5,0,2,equinox.p2-inbox
swt,product_117,1,4,0,4,63,2,grant_gayed
client,product_110,1,4,0,2,0,2,libingw
articles,product_20,1,4,0,3,0,2,community.articles-inbox
other,product_79,1,6,0,4,3,2,dgterry
cdo,product_39,1,6,0,16,37,2,stepper
ui,product_69,1,4,0,2,0,2,benno.baumgartner
ui,product_117,1,4,0,3,1,5,lynne_kues
cdt,product_17,1,4,0,4,189,2,zeratul976
p2,product_52,1,4,0,5,0,2,dj.houghton
other,product_118,1,4,0,3,0,2,ptp-inbox
client,product_70,1,4,0,4,16,2,simone.bordet
data access,product_10,1,4,0,6,4,2,mwu
swt,product_117,1,4,0,2,820,2,snorthov
project management & portal,product_20,1,4,0,14,726,2,portal-inbox
ui,product_120,1,4,0,2,3,2,dvorak.radek
tool,product_49,1,6,0,4,0,2,jxi
core,product_69,1,4,0,6,20,2,Olivier_Thomann
ui,product_117,1,4,0,4,35,2,Kevin_McGuire
gallery,product_104,1,6,0,4,0,2,nicolas.richeton
clientui,product_44,1,6,0,4,28,2,emfstore.clientcore-inbox
other,product_118,1,4,0,2,0,5,com-eclipse-org
hyades,product_173,1,6,0,6,0,2,ewchan
search,product_117,1,4,0,8,36,2,daniel_megert
swt,product_117,1,4,0,3,1,2,knut_radloff
bundles,product_109,1,4,0,9,0,6,orbit.bundles-inbox
update,product_117,1,4,0,5,324,2,platform-update-inbox
tptp,product_173,1,6,0,3,1,2,slavescu
wst,product_161,1,6,0,12,50,4,mdelder
text,product_117,1,4,0,9,4,4,eclipse
cosmos,product_173,1,6,0,7,1,2,sleeloy
chart,product_10,1,6,0,3,5,2,sleeloy
framework,product_52,1,4,0,3,0,2,tjwatson
project management & portal,product_20,1,6,0,4,9,2,portal-inbox
enablement,product_23,1,4,0,4,7,2,hskolwal
core,product_other,1,4,0,3,19,2,stephaneberle9
swtbot,product_140,1,4,0,2,28,2,swtbot-inbox
jpa,product_31,1,4,0,5,477,1,jamesssss
user,product_117,1,4,0,5,8,2,curtispd
tptp,product_173,1,6,0,7,0,4,ewchan
releng,product_117,1,4,0,2,0,2,platform-releng-inbox
team,product_117,1,4,0,3,0,2,Kevin_McGuire
gef,product_55,1,4,0,2,14,2,hudsonr
swt,product_117,1,4,0,2,0,2,knut_radloff
team,product_117,1,4,0,6,56,4,platform-team-inbox
ui,product_91,1,4,0,6,5,2,greensopinion
xtext,product_146,1,6,0,9,23,2,clay
cdt,product_17,1,4,0,7,29,2,ken.ryall
user,product_117,1,4,0,3,19,2,platform-ua-inbox
tptp,product_173,1,6,0,3,0,2,ruthdaly
general,product_72,1,6,0,5,13,2,jsdt.javascript-inbox
tptp,product_173,1,6,0,18,160,4,rohit.shetty
query language,product_1,1,6,0,6,84,2,yvan.lussaud
eswt,product_53,1,4,0,2,32,2,ercp.eswt-inbox
components,product_52,1,4,0,16,8,2,jeffmcaffer
other,product_other,1,4,0,5,2,2,milesparker
wst,product_166,1,6,0,15,0,2,deboer
ci,product_20,1,4,0,2,0,2,ci.admin-inbox
scout,product_131,1,6,0,3,0,2,scout.core-inbox
cdt,product_17,1,4,0,4,5,4,gheorghe
report,product_50,1,6,0,2,17,2,error-reports-inbox
cosmos,product_173,1,6,0,4,0,2,ruthdaly
core,product_139,1,4,0,2,0,2,a.gurov
cdt,product_17,1,4,0,5,5,2,pawel.1.piech
wst,product_166,1,4,0,7,1,2,arvera
other,product_other,1,4,0,4,1,2,chris.poon
ide,product_117,1,4,0,8,1,5,Platform-UI-Inbox
